project_num,project_name,SowKey
539572,AZDCS | HR 2022,
588179,AZDCS | HR Recruitment 2023,
616021,AZDCS | MARCOM | July '23- Jun'24,
369882,AZDCS | Office of Prevention,
445892,AZDCS | Office of Prevention - 2020,
419317,AZDCS | Office of Prevention 2019,
514040,AZDCS | Office of Prevention 2022,
627087,AZDCS | Prevention 2023-2024 T&M,
666914,AZDCS | Prevention | Child Abuse Awareness Month,
606483,AZDCS | Prevention | Fatherhood Phase 2,
574983,AZDCS | Prevention | Safe Sleep 2022 Campaign,
636437,AZDCS | Prevention | Safe Sleep October 2023,
414486,AZDCS | Vertuccio,
590109,AZDCS- FOSTER RECRUITMENT- JAN-JUN 2023,
590110,AZDCS- Marketing & Communications Jan-Jun 2023,
590111,AZDCS- Office of Prevention (Safe Sleep)- Jan- June 2023,
661160,AZDES & DCC | Retainer 2023-2024 (Part 2 | Feb-July 2024),
657867,AZDES | Client Portal Video,
554361,AZDES | Landing Page: Generating Child Care Leads,
546862,AZDES | Monthly Social & Media Management,
546861,AZDES | One-Time Setup,
546863,AZDES | Quarterly Creative & Reporting,
606853,AZDES | Retainer 2023-2024 (Part 1 | June-Jan),
143120,AZEC - Website,
223456,AZEC - Website Maintenance,
176535,AZEC - Website Rebuild & Restyle,
56126,AZL - 3457 Website Content ~,
56552,AZL - Arizona Lottery,
35423,AZL - Data Feed Integration,
15147,AZL - Retainer,
102638,AZL - Sitecore Email,
14579,AZL Website Build,
118308,AZL Website maintenance retainer,
29875,AZL-3058 - Website Redesign 2015,
271901,AzNN - INTERNAL FORECASTING,
271163,AzNN - Rebrand,SOW_ LaneTerralever - AzNN ReBrand
591556,AZT | Arizona Tile Meetings 2023/24,
554915,AZT | Arizona Tile Slab Outlet,
543987,AZT | AZ Tile Website & App Phase 2,
528120,AZT | Meetings 2022,
649744,AZT | QA Audit & Ongoing Support 23/24,
571531,AZT | Sharepoint Blog Migration,
571228,AZT | Sharing Functionality,
637086,AZT | Single Sign On Discovery,
56594,AZTL - Arizona Tile Import 5/22/15 ~,
23374,AZTL - AZ Tile Branding/DotCom Build ~,
571702,B-J | Barrett-Jackson Scottsdale 2023,
352,B/K Web Build,
392203,Bail Agent Network - Website Recovery,
585228,Ballet Arizona | Website + Microsite Redesign,SOW- Website Ballet
652331,Ballet AZ | Blog Migration,
540203,BAM | Battle Approved Motors - PR Support 2022,
549771,BAM | Digital Media Retainer 2022,
267111,BAN - Banner Health - Urgent Care | Sales Pursuit,
179622,BAN - Event Video Project,
287233,BAN - Night For Sight (Non-Billable),
276690,BAN - Night For Sight Video 2017,
260198,BAN - Non-Billable,
398778,BAN - Website Development,
270339,BAN- Banner Health Creative RFP,
228342,Banner Health - Strategy & Brand Campaign (SOW #1),
